Object Index,Accuracy
366,0.41239998
367,0.34579998
368,0.1751
369,0.28919998
370,0.33699998
371,0.24769999
372,0.2324
373,0.1313
374,0.13769999
375,0.2846
376,0.2157
377,0.3496
378,0.155
379,0.2721
380,0.2118
381,0.3753
382,0.4615
383,0.2572
384,0.1785
385,0.2873
386,0.1314
387,0.1556
388,0.4554
389,0.2039
390,0.213
391,0.28239998
392,0.4174
393,0.32009998
394,0.41529998
395,0.3331
396,0.2828
397,0.1899
398,0.3588
399,0.21169999
400,0.3224
401,0.2902
402,0.3292
403,0.2818
404,0.41459998
405,0.1485
406,0.4621
407,0.2746
408,0.2868
409,0.31689999
410,0.34309998
411,0.2999
412,0.2461
413,0.1626
414,0.3322
415,0.4062
416,0.2908
417,0.14379999
418,0.2417
419,0.2395
420,0.2511
421,0.26639998
422,0.40109998
423,0.2241
424,0.445
425,0.3193
426,0.3044
427,0.2882
428,0.235
429,0.19029999
430,0.16589999
431,0.17729999
432,0.0673
433,0.46519998
434,0.23249999
435,0.352
436,0.057099998
437,0.30769998
438,0.3707
439,0.3953
440,0.4098
441,0.2828
442,0.285
443,0.2068
444,0.3296
445,0.23969999
446,0.3055
447,0.3024
448,0.2527
449,0.2931
450,0.3636
451,0.4012
452,0.22219999
453,0.3617
454,0.1382
455,0.37489998
456,0.2917
457,0.2193
458,0.1734
459,0.275
460,0.1078
461,0.3872
462,0.35279998
463,0.2938
464,0.25259998
465,0.3277
466,0.3768
467,0.1039
468,0.31599998
469,0.2016
470,0.2836
471,0.48259997
472,0.37039998
473,0.382
474,0.3125
475,0.19399999
476,0.366
477,0.40539998
478,0.3622
479,0.3534
480,0.40309998
481,0.3333
482,0.2755
483,0.2555
484,0.40179998
485,0.3302
486,0.1715
487,0.2051
488,0.3612
489,0.138
490,0.4369
491,0.26999998
492,0.25959998
493,0.33069998
494,0.2135
495,0.31309998
496,0.33159998
497,0.2553
498,0.354
499,0.41439998
500,0.5093
501,0.2809
502,0.051999997
503,0.3831
504,0.1471
505,0.20969999
506,0.3337
507,0.1733
508,0.1875
509,0.132
510,0.2499
511,0.41669998
512,0.33229998
513,0.232
514,0.24659999
515,0.2153
516,0.3371
517,0.44979998
518,0.2104
519,0.3717
520,0.35529998
521,0.3938
522,0.2455
523,0.32279998
524,0.1347
525,0.3287
526,0.37489998
527,0.2216
528,0.2434
529,0.2671
530,0.2251
531,0.2228
532,0.34
533,0.24309999
534,0.2224
535,0.189
536,0.32619998
537,0.3288
538,0.2821
539,0.2954
540,0.3613
541,0.18419999
542,0.515
